Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3320-2644-3305-48410,"Oct 1, 2018",12:24:14 AM PDT,,Charge,,The best of the Vatican museums (Vatican Museums Guide Tour),com.tourblink.vaticanmuseums,1,itinerary_two,G3311,FR,,31590,EUR,1.16,1.000000,EUR,1.16
GPA.3324-1524-1628-85055,"Oct 1, 2018",1:29:22 AM PDT,,Charge,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,aljeter,MX,DISTRITO FEDERAL,11430,MXN,109.00,0.046513,EUR,5.07
GPA.3324-1524-1628-85055,"Oct 1, 2018",1:29:22 AM PDT,,Google fee,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,aljeter,MX,DISTRITO FEDERAL,11430,MXN,-32.70,0.046513,EUR,-1.52
GPA.3304-2668-1688-38846,"Oct 1, 2018",1:56:27 AM PDT,,Charge,,Lo principal del Louvre (Louvre Tours Guia),com.tourblink.louvre,1,itinerary_one_new,jackpotlte,AR,CAPITAL FEDERAL,C1428DHU,USD,2.31,0.863400,EUR,1.99
GPA.3304-2668-1688-38846,"Oct 1, 2018",1:56:27 AM PDT,,Google fee,,Lo principal del Louvre (Louvre Tours Guia),com.tourblink.louvre,1,itinerary_one_new,jackpotlte,AR,CAPITAL FEDERAL,C1428DHU,USD,-0.69,0.863400,EUR,-0.60
GPA.3381-9682-0052-30271,"Oct 1, 2018",2:06:01 AM PDT,,Charge,,Louvre in half day (EN) (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_fifth_new,a3xelte,RU,ГОРОД САНКТ-ПЕТЕРБУРГ,194354,RUB,185.59,0.013152,EUR,2.44
GPA.3381-9682-0052-30271,"Oct 1, 2018",2:06:01 AM PDT,,Google fee,,Louvre in half day (EN) (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_fifth_new,a3xelte,RU,ГОРОД САНКТ-ПЕТЕРБУРГ,194354,RUB,-55.68,0.013152,EUR,-0.73
GPA.3330-2375-2108-55914,"Oct 1, 2018",4:21:22 AM PDT,,Charge,,The most important masterpieces (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_one_new,walleye,US,NC,28277,USD,2.49,0.860900,EUR,2.15
GPA.3330-2375-2108-55914,"Oct 1, 2018",4:21:22 AM PDT,,Google fee,,The most important masterpieces (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_one_new,walleye,US,NC,28277,USD,-0.75,0.860900,EUR,-0.65
GPA.3330-2375-2108-55914,"Oct 1, 2018",4:21:22 AM PDT,Third-party Tax,Tax,,The most important masterpieces (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_one_new,walleye,US,NC,28277,USD,0.18,0.860900,EUR,0.15
