Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3380-9715-3194-64226,"Dec 23, 2018",2:11:26 AM PST,,Charge,,Unlock all the itineraries and audioguides (Paris Guide Tours),com.tourblink.app,1,buy_all,HWEVA,IT,PG,06132,EUR,2.86,1.000000,EUR,2.86
GPA.3310-5192-0536-91943,"Dec 23, 2018",4:35:23 AM PST,,Charge,,The most important masterpieces+Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary1_new,a5y17lte,GR,,15122,EUR,1.69,1.000000,EUR,1.69
GPA.3351-6800-6215-67040,"Dec 23, 2018",4:53:28 AM PST,,Charge,,Audioguide + Itinerary Louvre in half day (EN) (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary5_new,H8296,GB,,BS9 1AR,GBP,2.04,1.111100,EUR,2.27
GPA.3328-9155-7359-63958,"Dec 23, 2018",5:24:36 AM PST,,Charge,,Orsay en 2 horas (Orsay Museum Guide Tours),com.tourblink.museeorsay,1,itinerary_two,OnePlus3,US,TX,78704,USD,2.49,0.879450,EUR,2.19
GPA.3328-9155-7359-63958,"Dec 23, 2018",5:24:36 AM PST,,Google fee,,Orsay en 2 horas (Orsay Museum Guide Tours),com.tourblink.museeorsay,1,itinerary_two,OnePlus3,US,TX,78704,USD,-0.75,0.879450,EUR,-0.66
GPA.3328-9155-7359-63958,"Dec 23, 2018",5:24:36 AM PST,Third-party Tax,Tax,,Orsay en 2 horas (Orsay Museum Guide Tours),com.tourblink.museeorsay,1,itinerary_two,OnePlus3,US,TX,78704,USD,0.16,0.879450,EUR,0.14
GPA.3322-0150-3249-12741,"Dec 23, 2018",7:00:59 AM PST,,Charge,,The historic heart of Paris (Paris Guide Tours),com.tourblink.app,1,itinerary_one,OnePlus5T,FR,,94470,EUR,0.58,1.000000,EUR,0.58
GPA.3334-2731-7555-38296,"Dec 23, 2018",4:27:06 PM PST,,Charge,,Audioguide + Itinerary Louvre in half day (EN) (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary5_new,taimen,US,PA,15213,USD,3.99,0.879650,EUR,3.51
GPA.3334-2731-7555-38296,"Dec 23, 2018",4:27:06 PM PST,,Google fee,,Audioguide + Itinerary Louvre in half day (EN) (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary5_new,taimen,US,PA,15213,USD,-1.20,0.879650,EUR,-1.06
GPA.3334-2731-7555-38296,"Dec 23, 2018",4:27:06 PM PST,Third-party Tax,Tax,,Audioguide + Itinerary Louvre in half day (EN) (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary5_new,taimen,US,PA,15213,USD,0.28,0.879650,EUR,0.25
GPA.3305-7597-8004-68556,"Dec 23, 2018",5:31:24 PM PST,,Charge,,Buy all (Pere Lachaise Guide Tours),com.tourblink.perelachaise,1,buy_all,OnePlus,FR,,92400,EUR,2.91,1.000000,EUR,2.91
GPA.3306-3224-5766-52180,"Dec 23, 2018",5:33:24 PM PST,,Charge,,Buy all the Audioguide (Pere Lachaise Guide Tours),com.tourblink.perelachaise,1,robot_audioguide,OnePlus,FR,,92400,EUR,1.16,1.000000,EUR,1.16
GPA.3305-7597-8004-68556,"Dec 23, 2018",5:48:10 PM PST,,Charge refund,Full,Buy all (Pere Lachaise Guide Tours),com.tourblink.perelachaise,1,buy_all,OnePlus,FR,,92400,EUR,-2.91,1.000000,EUR,-2.91
GPA.3306-3224-5766-52180,"Dec 23, 2018",5:48:11 PM PST,,Charge refund,Full,Buy all the Audioguide (Pere Lachaise Guide Tours),com.tourblink.perelachaise,1,robot_audioguide,OnePlus,FR,,92400,EUR,-1.16,1.000000,EUR,-1.16
GPA.3383-0177-7917-71586,"Dec 24, 2018",12:02:56 AM PST,,Charge,,Orsay en 2 horas+audio (Orsay Museum Guide Tours),com.tourblink.museeorsay,1,audioguide_itinerary2,dreamlte,IT,BG,24068,EUR,1.72,1.000000,EUR,1.72
GPA.3382-9442-3806-63806,"Dec 24, 2018",12:04:18 AM PST,,Charge,,Buy all (Vatican Museums Guide Tour),com.tourblink.vaticanmuseums,1,buy_all,taimen,US,PA,15071,USD,5.99,0.878600,EUR,5.26
GPA.3382-9442-3806-63806,"Dec 24, 2018",12:04:18 AM PST,,Google fee,,Buy all (Vatican Museums Guide Tour),com.tourblink.vaticanmuseums,1,buy_all,taimen,US,PA,15071,USD,-1.80,0.878600,EUR,-1.58
GPA.3382-9442-3806-63806,"Dec 24, 2018",12:04:18 AM PST,Third-party Tax,Tax,,Buy all (Vatican Museums Guide Tour),com.tourblink.vaticanmuseums,1,buy_all,taimen,US,PA,15071,USD,0.36,0.878600,EUR,0.32
GPA.3341-9335-5420-21379,"Dec 24, 2018",12:18:47 AM PST,,Charge,,Buy all (Vatican Museums Guide Tour),com.tourblink.vaticanmuseums,1,buy_all,herolte,FR,,49300,EUR,2.91,1.000000,EUR,2.91
GPA.3384-9362-3883-53446,"Dec 24, 2018",1:34:37 AM PST,,Charge,,The most important masterpieces (PT) (Louvre. Roteiros offline com áudioguia),com.tourblink.louvre,1,itinerary_one_new,jasmine_sprout,PT,,4715-037,EUR,1.13,1.000000,EUR,1.13
GPA.3355-8493-4137-62232,"Dec 24, 2018",2:57:58 AM PST,,Charge,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,HWCLT,US,VA,22124,USD,5.99,0.877200,EUR,5.26
GPA.3355-8493-4137-62232,"Dec 24, 2018",2:57:58 AM PST,,Google fee,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,HWCLT,US,VA,22124,USD,-1.80,0.877200,EUR,-1.58
GPA.3355-8493-4137-62232,"Dec 24, 2018",2:57:58 AM PST,Third-party Tax,Tax,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,HWCLT,US,VA,22124,USD,0.32,0.877200,EUR,0.28
GPA.3395-3867-4111-46205,"Dec 24, 2018",6:24:39 AM PST,,Charge,,The Louvre in 60 mins + Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary2_new,walleye,US,NJ,07666,USD,1.49,0.876950,EUR,1.30
GPA.3395-3867-4111-46205,"Dec 24, 2018",6:24:39 AM PST,,Google fee,,The Louvre in 60 mins + Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary2_new,walleye,US,NJ,07666,USD,-0.45,0.876950,EUR,-0.39
GPA.3395-3867-4111-46205,"Dec 24, 2018",6:24:39 AM PST,Third-party Tax,Tax,,The Louvre in 60 mins + Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary2_new,walleye,US,NJ,07666,USD,0.10,0.876950,EUR,0.09
GPA.3340-0638-8788-72175,"Dec 24, 2018",9:02:32 AM PST,,Charge,,Barrio Cívico / Centro de Santiago (Santiago de Chile Tours Guiados),com.tourblink.santiagodechile,1,itinerary_one,dreamlte,BR,PR,85853340,BRL,4.39,0.224470,EUR,0.99
GPA.3340-0638-8788-72175,"Dec 24, 2018",9:02:32 AM PST,,Google fee,,Barrio Cívico / Centro de Santiago (Santiago de Chile Tours Guiados),com.tourblink.santiagodechile,1,itinerary_one,dreamlte,BR,PR,85853340,BRL,-1.32,0.224470,EUR,-0.30
GPA.3340-0638-8788-72175,"Dec 24, 2018",9:02:32 AM PST,Brazil CIDE Withholding Tax,Tax,,Barrio Cívico / Centro de Santiago (Santiago de Chile Tours Guiados),com.tourblink.santiagodechile,1,itinerary_one,dreamlte,BR,PR,85853340,EUR,-0.10,1.000000,EUR,-0.10
GPA.3340-0638-8788-72175,"Dec 24, 2018",9:02:32 AM PST,Brazil CIDE Withholding Tax,Tax,,Barrio Cívico / Centro de Santiago (Santiago de Chile Tours Guiados),com.tourblink.santiagodechile,1,itinerary_one,dreamlte,BR,PR,85853340,EUR,0.03,1.000000,EUR,0.03
GPA.3340-0638-8788-72175,"Dec 24, 2018",9:02:32 AM PST,Brazil IRRF Withholding Tax,Tax,,Barrio Cívico / Centro de Santiago (Santiago de Chile Tours Guiados),com.tourblink.santiagodechile,1,itinerary_one,dreamlte,BR,PR,85853340,EUR,0.04,1.000000,EUR,0.04
GPA.3340-0638-8788-72175,"Dec 24, 2018",9:02:32 AM PST,Brazil IRRF Withholding Tax,Tax,,Barrio Cívico / Centro de Santiago (Santiago de Chile Tours Guiados),com.tourblink.santiagodechile,1,itinerary_one,dreamlte,BR,PR,85853340,EUR,-0.14,1.000000,EUR,-0.14
GPA.3336-8603-4083-13477,"Dec 24, 2018",9:30:22 AM PST,,Charge,,Tour a pie por Budapest+audio (Budapest Tour&Audioguide),com.tourblink.budapest,1,audioguide_itinerary1,hwALE-H,ES,MADRID,28047,EUR,1.15,1.000000,EUR,1.15
GPA.3336-8603-4083-13477,"Dec 24, 2018",3:15:18 PM PST,,Charge refund,Full,Tour a pie por Budapest+audio (Budapest Tour&Audioguide),com.tourblink.budapest,1,audioguide_itinerary1,hwALE-H,ES,MADRID,28047,EUR,-1.15,1.000000,EUR,-1.15
GPA.3337-9553-3297-52081,"Dec 24, 2018",6:12:59 PM PST,,Charge,,Buy All (Madrid Guide Tours),com.tourblink.madrid,1,buy_all,kltevzw,US,CA,92111,USD,5.99,0.876450,EUR,5.24
GPA.3337-9553-3297-52081,"Dec 24, 2018",6:12:59 PM PST,,Google fee,,Buy All (Madrid Guide Tours),com.tourblink.madrid,1,buy_all,kltevzw,US,CA,92111,USD,-1.80,0.876450,EUR,-1.58
GPA.3337-9553-3297-52081,"Dec 24, 2018",6:12:59 PM PST,Third-party Tax,Tax,,Buy All (Madrid Guide Tours),com.tourblink.madrid,1,buy_all,kltevzw,US,CA,92111,USD,0.46,0.876450,EUR,0.41
GPA.3391-4249-7481-29673,"Dec 24, 2018",11:49:15 PM PST,,Charge,,Roma durante los tiempos (Roma Guide Tours),com.tourblink.roma,1,itinerary_third,hlte,AU,,2606,AUD,1.45,0.617570,EUR,0.90
GPA.3391-4249-7481-29673,"Dec 24, 2018",11:49:15 PM PST,,Google fee,,Roma durante los tiempos (Roma Guide Tours),com.tourblink.roma,1,itinerary_third,hlte,AU,,2606,AUD,-0.44,0.617570,EUR,-0.27
GPA.3358-4570-4053-50565,"Dec 24, 2018",11:50:02 PM PST,,Charge,,Roma panorámica (Roma Guide Tours),com.tourblink.roma,1,itinerary_two,hlte,AU,,2606,AUD,1.45,0.617570,EUR,0.90
GPA.3358-4570-4053-50565,"Dec 24, 2018",11:50:02 PM PST,,Google fee,,Roma panorámica (Roma Guide Tours),com.tourblink.roma,1,itinerary_two,hlte,AU,,2606,AUD,-0.44,0.617570,EUR,-0.27
GPA.3305-8274-4643-04954,"Dec 25, 2018",10:29:22 AM PST,,Charge,,"The main artworks/Aztec,Mayan,Teotihuacan and Toltec) (Mexico City: Museum of Anthropology Guide & Tours)",com.tourblink.nationalmuseumanthropologymexicocity,1,itinerary_one,CatS61,AT,,4400,EUR,1.74,1.000000,EUR,1.74
GPA.3372-6794-7810-99373,"Dec 25, 2018",10:53:10 AM PST,,Charge,,"The main artworks/Aztec,Mayan,Teotihuacan and Toltec) (Mexico City: Museum of Anthropology Guide & Tours)",com.tourblink.nationalmuseumanthropologymexicocity,1,itinerary_one,crownqltesq,US,WA,98106,USD,3.49,0.877450,EUR,3.06
GPA.3372-6794-7810-99373,"Dec 25, 2018",10:53:10 AM PST,,Google fee,,"The main artworks/Aztec,Mayan,Teotihuacan and Toltec) (Mexico City: Museum of Anthropology Guide & Tours)",com.tourblink.nationalmuseumanthropologymexicocity,1,itinerary_one,crownqltesq,US,WA,98106,USD,-1.05,0.877450,EUR,-0.92
GPA.3308-4945-8986-70584,"Dec 25, 2018",11:18:53 AM PST,,Charge,,Roma panorámica (Roma Guide Tours),com.tourblink.roma,1,itinerary_two,walleye,CA,AB,T2V5C7,CAD,1.49,0.645300,EUR,0.96
GPA.3308-4945-8986-70584,"Dec 25, 2018",11:18:53 AM PST,,Google fee,,Roma panorámica (Roma Guide Tours),com.tourblink.roma,1,itinerary_two,walleye,CA,AB,T2V5C7,CAD,-0.45,0.645300,EUR,-0.29
GPA.3369-3662-5147-91737,"Dec 25, 2018",2:20:19 PM PST,,Charge,,Buy all (Vatican Museums Guide Tour),com.tourblink.vaticanmuseums,1,buy_all,HWEVA,IT,BO,40050,EUR,2.86,1.000000,EUR,2.86
GPA.3333-2850-9106-84110,"Dec 26, 2018",1:08:25 AM PST,,Charge,,Orsay en 60 minutes (Musée d'Orsay visites guidées),com.tourblink.museeorsay,1,itinerary_one,trlte,BE,,8552,EUR,1.73,1.000000,EUR,1.73
GPA.3349-8159-6868-56341,"Dec 26, 2018",2:32:26 AM PST,,Charge,,Lo mejor del museo del Prado (El Prado Museum Guide Tours & Audioguide),com.tourblink.museoelprado,1,itinerary_two,dream2qlteue,US,CA,91101,USD,2.49,0.877800,EUR,2.19
GPA.3349-8159-6868-56341,"Dec 26, 2018",2:32:26 AM PST,,Google fee,,Lo mejor del museo del Prado (El Prado Museum Guide Tours & Audioguide),com.tourblink.museoelprado,1,itinerary_two,dream2qlteue,US,CA,91101,USD,-0.75,0.877800,EUR,-0.66
GPA.3349-8159-6868-56341,"Dec 26, 2018",2:32:26 AM PST,Third-party Tax,Tax,,Lo mejor del museo del Prado (El Prado Museum Guide Tours & Audioguide),com.tourblink.museoelprado,1,itinerary_two,dream2qlteue,US,CA,91101,USD,0.24,0.877800,EUR,0.21
GPA.3369-6638-5832-44366,"Dec 26, 2018",3:11:42 AM PST,,Charge,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,T5,ES,SEVILLA,41015,EUR,2.88,1.000000,EUR,2.88
GPA.3389-4748-2441-78040,"Dec 26, 2018",3:26:15 AM PST,,Charge,,Sculptures françaises des 17ème et 18ème siècles (Musée du Louvre visites guidées),com.tourblink.louvre,1,itinerary_fourth_new,starlte,FR,,94700,EUR,0.58,1.000000,EUR,0.58
GPA.3372-7681-4627-78139,"Dec 26, 2018",3:32:24 AM PST,,Charge,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,HWANE,EE,,13131,EUR,2.91,1.000000,EUR,2.91
GPA.3380-1064-1901-83816,"Dec 26, 2018",5:27:48 AM PST,,Charge,,Audioguide + Itinerary Louvre in half day (EN) (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary5_new,dream2lte,TR,ANKARA,06460,TRY,16.09,0.166180,EUR,2.67
GPA.3380-1064-1901-83816,"Dec 26, 2018",5:27:48 AM PST,,Google fee,,Audioguide + Itinerary Louvre in half day (EN) (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary5_new,dream2lte,TR,ANKARA,06460,TRY,-4.83,0.166180,EUR,-0.80
GPA.3378-9818-2008-44682,"Dec 26, 2018",6:53:36 AM PST,,Charge,,Lo mejor del museo del Prado (El Prado Museum Guide Tours & Audioguide),com.tourblink.museoelprado,1,itinerary_two,HWCLT,HK,-,,HKD,18.00,0.112150,EUR,2.02
GPA.3378-9818-2008-44682,"Dec 26, 2018",6:53:36 AM PST,,Google fee,,Lo mejor del museo del Prado (El Prado Museum Guide Tours & Audioguide),com.tourblink.museoelprado,1,itinerary_two,HWCLT,HK,-,,HKD,-5.40,0.112150,EUR,-0.61
GPA.3331-2983-7501-16515,"Dec 26, 2018",6:54:52 AM PST,,Charge,,The Louvre in 60 mins + Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary2_new,PD1603,NL,,5912KB,EUR,0.86,1.000000,EUR,0.86
GPA.3348-1735-8973-02540,"Dec 26, 2018",7:52:21 AM PST,,Charge,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,OnePlus5T,IN,Delhi,110023,INR,355.93,0.012529,EUR,4.46
GPA.3348-1735-8973-02540,"Dec 26, 2018",7:52:21 AM PST,,Google fee,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,OnePlus5T,IN,Delhi,110023,INR,-106.78,0.012529,EUR,-1.34
GPA.3333-3589-4301-91316,"Dec 26, 2018",8:14:59 AM PST,,Charge,,The most important masterpieces (PT) (Louvre. Roteiros offline com áudioguia),com.tourblink.louvre,1,itinerary_one_new,dreamlte,BR,MS,79003-102,BRL,8.99,0.223740,EUR,2.01
GPA.3333-3589-4301-91316,"Dec 26, 2018",8:14:59 AM PST,,Google fee,,The most important masterpieces (PT) (Louvre. Roteiros offline com áudioguia),com.tourblink.louvre,1,itinerary_one_new,dreamlte,BR,MS,79003-102,BRL,-2.70,0.223740,EUR,-0.60
GPA.3333-3589-4301-91316,"Dec 26, 2018",8:14:59 AM PST,Brazil CIDE Withholding Tax,Tax,,The most important masterpieces (PT) (Louvre. Roteiros offline com áudioguia),com.tourblink.louvre,1,itinerary_one_new,dreamlte,BR,MS,79003-102,EUR,0.06,1.000000,EUR,0.06
GPA.3333-3589-4301-91316,"Dec 26, 2018",8:14:59 AM PST,Brazil CIDE Withholding Tax,Tax,,The most important masterpieces (PT) (Louvre. Roteiros offline com áudioguia),com.tourblink.louvre,1,itinerary_one_new,dreamlte,BR,MS,79003-102,EUR,-0.20,1.000000,EUR,-0.20
GPA.3333-3589-4301-91316,"Dec 26, 2018",8:14:59 AM PST,Brazil IRRF Withholding Tax,Tax,,The most important masterpieces (PT) (Louvre. Roteiros offline com áudioguia),com.tourblink.louvre,1,itinerary_one_new,dreamlte,BR,MS,79003-102,EUR,0.09,1.000000,EUR,0.09
GPA.3333-3589-4301-91316,"Dec 26, 2018",8:14:59 AM PST,Brazil IRRF Withholding Tax,Tax,,The most important masterpieces (PT) (Louvre. Roteiros offline com áudioguia),com.tourblink.louvre,1,itinerary_one_new,dreamlte,BR,MS,79003-102,EUR,-0.30,1.000000,EUR,-0.30
GPA.3370-8305-6279-28495,"Dec 26, 2018",2:29:35 PM PST,,Charge,,The most important masterpieces+Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary1_new,poseidonlteatt,US,CA,93035,USD,3.49,0.880850,EUR,3.07
GPA.3370-8305-6279-28495,"Dec 26, 2018",2:29:35 PM PST,,Google fee,,The most important masterpieces+Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary1_new,poseidonlteatt,US,CA,93035,USD,-1.05,0.880850,EUR,-0.92
GPA.3370-8305-6279-28495,"Dec 26, 2018",2:29:35 PM PST,Third-party Tax,Tax,,The most important masterpieces+Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary1_new,poseidonlteatt,US,CA,93035,USD,0.25,0.880850,EUR,0.22
GPA.3333-2205-6537-26611,"Dec 26, 2018",2:44:22 PM PST,,Charge,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,HWALP,CA,ON,N2L 3V8,CAD,7.49,0.649070,EUR,4.86
GPA.3333-2205-6537-26611,"Dec 26, 2018",2:44:22 PM PST,,Google fee,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,HWALP,CA,ON,N2L 3V8,CAD,-2.25,0.649070,EUR,-1.46
GPA.3337-6330-2889-09267,"Dec 26, 2018",8:28:12 PM PST,,Charge,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,ASUS_Z01KD_1,CO,,,COP,17500.00,0.000268,EUR,4.68
GPA.3337-6330-2889-09267,"Dec 26, 2018",8:28:12 PM PST,,Google fee,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,ASUS_Z01KD_1,CO,,,COP,-5250.00,0.000268,EUR,-1.40
GPA.3314-6704-4565-11052,"Dec 27, 2018",12:09:49 AM PST,,Charge,,Beyonce en el museo (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_nine,OnePlus5T,JP,,223-0061,JPY,260.00,0.007908,EUR,2.06
GPA.3314-6704-4565-11052,"Dec 27, 2018",12:09:49 AM PST,,Google fee,,Beyonce en el museo (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_nine,OnePlus5T,JP,,223-0061,JPY,-78.00,0.007908,EUR,-0.62
GPA.3354-3992-3420-76816,"Dec 27, 2018",1:13:53 AM PST,,Charge,,The historic heart of Paris (Paris Guide Tours),com.tourblink.app,1,itinerary_one,p1,PL,,05-500,PLN,2.44,0.233340,EUR,0.57
GPA.3393-0821-9454-71802,"Dec 27, 2018",1:41:08 AM PST,,Charge,,Audioguide + Itinerary Louvre in half day (EN) (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary5_new,mido,GR,,17675,EUR,1.97,1.000000,EUR,1.97
GPA.3351-7282-1776-97578,"Dec 27, 2018",2:02:49 AM PST,,Charge,,Unlock all the itineraries and audioguides (Paris Guide Tours),com.tourblink.app,1,buy_all,l5510,FR,,34090,EUR,2.91,1.000000,EUR,2.91
GPA.3349-1101-6198-24709,"Dec 27, 2018",2:10:06 AM PST,,Charge,,Buy all (Orsay Museum Guide Tours),com.tourblink.museeorsay,1,buy_all,HWRNE,FR,,78100,EUR,2.91,1.000000,EUR,2.91
