Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3335-8518-2743-97401,"Nov 1, 2018",1:15:12 AM PDT,,Charge,,Louvre in half day (FR) (Musée du Louvre visites guidées),com.tourblink.louvre,1,itinerary_fifth_new,OnePlus6,BE,,5300,EUR,1.73,1.000000,EUR,1.73
GPA.3375-9975-9380-94167,"Nov 1, 2018",3:19:23 AM PDT,,Charge,,El centro histórico de París (Paris Tours Guia),com.tourblink.app,1,itinerary_one_paris,tissot_sprout,DE,,70191,EUR,0.58,1.000000,EUR,0.58
GPA.3306-4987-4155-55780,"Nov 1, 2018",3:22:04 AM PDT,,Charge,,The most important masterpieces+Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary1_new,albus,US,MA,01860,USD,3.49,0.878850,EUR,3.07
GPA.3306-4987-4155-55780,"Nov 1, 2018",3:22:04 AM PDT,,Google fee,,The most important masterpieces+Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary1_new,albus,US,MA,01860,USD,-1.05,0.878850,EUR,-0.92
GPA.3306-4987-4155-55780,"Nov 1, 2018",3:22:04 AM PDT,Third-party Tax,Tax,,The most important masterpieces+Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary1_new,albus,US,MA,01860,USD,0.22,0.878850,EUR,0.19
GPA.3348-6825-0592-88981,"Nov 1, 2018",3:43:35 AM PDT,,Charge,,Lo mejor del museo del Prado (El Prado Museum Guide Tours & Audioguide),com.tourblink.museoelprado,1,itinerary_two,starlte,FR,,92140,EUR,1.16,1.000000,EUR,1.16
GPA.3346-7742-5922-57847,"Nov 1, 2018",4:39:26 AM PDT,,Charge,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,j7eltetmo,US,NC,28806,USD,5.99,0.878850,EUR,5.27
GPA.3346-7742-5922-57847,"Nov 1, 2018",4:39:26 AM PDT,,Google fee,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,j7eltetmo,US,NC,28806,USD,-1.80,0.878850,EUR,-1.58
GPA.3346-7742-5922-57847,"Nov 1, 2018",4:39:26 AM PDT,Third-party Tax,Tax,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,j7eltetmo,US,NC,28806,USD,0.42,0.878850,EUR,0.36
GPA.3399-1421-3407-60827,"Nov 1, 2018",5:32:57 AM PDT,,Charge,,Lo mejor del museo del Prado desde la nueva entrada (El Prado Museum Guide Tours & Audioguide),com.tourblink.museoelprado,1,itinerary_sixth,bbb100,FR,,91210,EUR,1.16,1.000000,EUR,1.16
